acl_key,year,c3_hit,title
lahnala-etal-2025-practical,2025,yes,The Practical Impacts of Theoretical Constructs on Empathy Modeling
kong-etal-2025-emorl,2025,yes,{EMORL}: Ensemble Multi-Objective Reinforcement Learning for Efficient and Flexible {LLM} Fine-Tuning
kockritz-etal-2025-reasoning,2025,yes,Reasoning Under Distress: Mining Claims and Evidence in Mental Health Narratives
kim-etal-2025-share-story,2025,yes,Can You Share Your Story? Modeling Clients' Metacognition and Openness for {LLM} Therapist Evaluation
kim-etal-2025-principles,2025,yes,{PRINCIPLES}: Synthetic Strategy Memory for Proactive Dialogue Agents
kim-etal-2025-multimodal,2025,yes,Multimodal Cognitive Reframing Therapy via Multi-hop Psychotherapeutic Reasoning
kim-etal-2025-mirror,2025,yes,{MIRROR}: Multimodal Cognitive Reframing Therapy for Rolling with Resistance
kim-etal-2025-kmi,2025,yes,{KMI}: A Dataset of {K}orean Motivational Interviewing Dialogues for Psychotherapy
kim-etal-2025-dialogue,2025,yes,Dialogue Systems for Emotional Support via Value Reinforcement
kian-etal-2025-using,2025,yes,Using Linguistic Entrainment to Evaluate Large Language Models for Use in Cognitive Behavioral Therapy
kazemi-vanhari-etal-2025-analyzing,2025,yes,Analyzing Interview Questions via Bloom{'}s Taxonomy to Enhance the Design Thinking Process
katki-etal-2025-automated,2025,yes,Automated Coding of Counsellor and Client Behaviours in Motivational Interviewing Transcripts: Validation and Application
kar-etal-2025-mathbuddy,2025,yes,{M}ath{B}uddy: A Multimodal System for Affective Math Tutoring
kang-etal-2025-generation,2025,no,Generation-Based and Emotion-Reflected Memory Update: Creating the {KEEM} Dataset for Better Long-Term Conversation
jafari-etal-2025-psychological,2025,yes,"Psychological Health Chatbot, Detecting and Assisting Patients in their Path to Recovery"
inoue-etal-2025-laugh,2025,yes,Why Do We Laugh? Annotation and Taxonomy Generation for Laughable Contexts in Spontaneous Text Conversation
huangfu-etal-2025-non,2025,no,Non-Emotion-Centric Empathetic Dialogue Generation
hu-etal-2025-psyadvisor,2025,yes,{P}sy{A}dvisor: A Plug-and-Play Strategy Advice Planner with Proactive Questioning in Psychological Conversations
hu-etal-2025-chain,2025,yes,Chain-Talker: Chain Understanding and Rendering for Empathetic Conversational Speech Synthesis
hou-etal-2025-language,2025,yes,Language Models Predict Empathy Gaps Between Social In-groups and Out-groups
hotta-etal-2025-metamo,2025,yes,Metamo: Empowering Large Language Models with Psychological Distortion Detection for Cognition-aware Coaching
hossain-etal-2025-mender,2025,yes,{MENDER}: Multi-hop Commonsense and Domain-specific {C}o{T} Reasoning for Knowledge-grounded Empathetic Counseling of Crime Victims
hossain-etal-2025-autopsyc,2025,yes,{A}uto{P}sy{C}: Automatic Recognition of Psychodynamic Conflicts from Semi-structured Interviews with Large Language Models
hoque-etal-2025-ciol,2025,no,{CIOL} at {CLP}sych 2025: Using Large Lanuage Models for Understanding and Summarizing Clinical Texts
hong-etal-2025-third,2025,yes,Third-Person Appraisal Agent: Simulating Human Emotional Reasoning in Text with Large Language Models
he-etal-2025-madial,2025,yes,{MAD}ial-Bench: Towards Real-world Evaluation of Memory-Augmented Dialogue Generation
he-etal-2025-ecc,2025,yes,{ECC}: An Emotion-Cause Conversation Dataset for Empathy Response
haydarov-etal-2025-towards,2025,yes,Towards {AI}-Assisted Psychotherapy: Emotion-Guided Generative Interventions
